repository_relative_path,dataset_or_table_name,data_type,source_or_origin,processed_or_raw,main_variables_or_columns,related_manuscript_section,related_figure_or_table,related_supplementary_item,supports_claim,limitations_or_notes,public_release_ready,comment
data/BeatAML_SigCom_consistency_check_Phase17B_v2.csv,BeatAML_SigCom_consistency_check_Phase17B_v2.csv,BeatAML processed result table,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
data/CMap_LINCS_input_signature_LOCKED_A_Phase17A_lite.csv,CMap_LINCS_input_signature_LOCKED_A_Phase17A_lite.csv,SigCom/LINCS processed result table,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
data/GSE12417_GPL570_external_validation_risk_score.csv,GSE12417_GPL570_external_validation_risk_score.csv,processed data table,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
data/GSE37642_GPL570_external_validation_risk_score.csv,GSE37642_GPL570_external_validation_risk_score.csv,processed data table,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
data/SigCom_LINCS_reversal_results_curated_Phase17B_v2.csv,SigCom_LINCS_reversal_results_curated_Phase17B_v2.csv,SigCom/LINCS processed result table,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
data/SigCom_LINCS_reversal_results_raw_imported_Phase17B_v2.csv,SigCom_LINCS_reversal_results_raw_imported_Phase17B_v2.csv,SigCom/LINCS processed result table,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
data/beataml_drug_sensitivity_summary.csv,beataml_drug_sensitivity_summary.csv,BeatAML processed result table,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
data/beataml_high_low_risk_drug_response_difference_all.csv,beataml_high_low_risk_drug_response_difference_all.csv,BeatAML processed result table,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
data/beataml_risk_score_by_sample.csv,beataml_risk_score_by_sample.csv,BeatAML processed result table,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
data/beataml_risk_score_drug_correlation_all.csv,beataml_risk_score_drug_correlation_all.csv,BeatAML processed result table,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
data/combined_GPL570_external_validation_performance.csv,combined_GPL570_external_validation_performance.csv,processed data table,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
data/external_validation_main_results.csv,external_validation_main_results.csv,processed data table,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
data/phase4_singlecell_cellstate_PRFT_summary_formula_A.csv,phase4_singlecell_cellstate_PRFT_summary_formula_A.csv,Formula A/model-selection metadata,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
data/sc_celltype_score_summary.csv,sc_celltype_score_summary.csv,single-cell processed result table,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
data/sc_cluster_score_summary.csv,sc_cluster_score_summary.csv,single-cell processed result table,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
data/sc_signature_gene_coverage.csv,sc_signature_gene_coverage.csv,single-cell processed result table,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
data/tcga_cross_platform_risk_score_by_sample.csv,tcga_cross_platform_risk_score_by_sample.csv,processed data table,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
metadata/LOCKED_PRFT_six_gene_formula_A.txt,LOCKED_PRFT_six_gene_formula_A.txt,Formula A/model-selection metadata,Generated by this study from reused public AML resources or locked Formula A metadata.,metadata,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
metadata/LOCKED_PRFT_six_gene_formula_A_coefficients.csv,LOCKED_PRFT_six_gene_formula_A_coefficients.csv,Formula A/model-selection metadata,Generated by this study from reused public AML resources or locked Formula A metadata.,metadata,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
metadata/README_formula_lock.md,README_formula_lock.md,Formula A/model-selection metadata,Generated by this study from reused public AML resources or locked Formula A metadata.,metadata,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
metadata/model_selection/phase3A_fix_original_6gene_vs_top_models.csv,Formula A vs top model comparison,Formula A/top-model comparison table,Phase3A-fix survival-learning benchmark,processed,"model_id, gene_set, rank, external validation metrics, comparison notes",Results/Discussion Formula A retention,Figure 4; Supplementary Table S8,Model selection metadata,Supports Formula A retention basis.,Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
supplementary/Main_Figure_Original_Source_Map.csv,Main_Figure_Original_Source_Map.csv,supplementary result file,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
supplementary/Phase17C_SigCom_BeatAML_evidence_tier_table.csv,Phase17C_SigCom_BeatAML_evidence_tier_table.csv,supplementary result file,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
supplementary/Supplementary_Figure_Sx_SigCom_BeatAML_final_design_Phase17C.csv,Supplementary_Figure_Sx_SigCom_BeatAML_final_design_Phase17C.csv,supplementary result file,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
supplementary/Supplementary_Table_S6_LOCKED_formula_A_coefficients.csv,Supplementary_Table_S6_LOCKED_formula_A_coefficients.csv,Formula A/model-selection metadata,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
supplementary/Supplementary_Table_Sx_SigCom_BeatAML_final_Phase17C.csv,Supplementary_Table_Sx_SigCom_BeatAML_final_Phase17C.csv,supplementary result file,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
supplementary/ml_benchmarking/Supplementary_Table_S8__phase3A_fix_model_ranking_composite_score.csv,Supplementary Table S8,supplementary ML benchmarking table,Phase3A-fix survival-learning benchmark,processed,"rank, model_id, feature_strategy, algorithm, composite score, validation metrics",Results ML benchmarking,Supplementary Table S8,Supplementary Table S8,Supports manuscript statement of more than 100 machine-learning model configurations.,Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
supplementary/ml_benchmarking/phase3A_fix_model_performance_all.csv,ML benchmarking all performance table,all model performance output,Phase3A-fix survival-learning benchmark,processed,"model_id, feature_strategy, algorithm, fit_status, C-index, AUC, IBS, composite inputs",Methods/Results ML benchmarking,Figure 4; Supplementary Table S8,Supplementary Table S8,Documents all planned and attempted model performance records.,Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
supplementary/ml_benchmarking/phase3A_fix_model_performance_success_only.csv,ML benchmarking success-only table,successfully fitted model performance output,Phase3A-fix survival-learning benchmark,processed,"model_id, feature_strategy, algorithm, C-index, AUC, IBS, validation metrics",Methods/Results ML benchmarking,Figure 4; Supplementary Table S8,Supplementary Table S8,Supports 125 successfully fitted configurations.,Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
supplementary/ml_benchmarking/phase3A_fix_model_plan_150.csv,ML benchmarking plan table,planned model-combination table,Phase3A-fix survival-learning benchmark,processed,"model_id, feature_strategy, algorithm, planned_status",Methods/Results ML benchmarking,Figure 4; Supplementary Table S8,Supplementary Table S8,Supports 150 planned model combinations.,Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
supplementary/ml_benchmarking/phase3A_fix_model_ranking_composite_score.csv,ML ranking table,model ranking / composite score table,Phase3A-fix survival-learning benchmark,processed,"rank, model_id, feature_strategy, algorithm, composite score, validation metrics",Results ML benchmarking,Figure 4; Supplementary Table S8,Supplementary Table S8,Supports model ranking and composite-score context.,Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
