file_path,relative_path,extension,size_bytes,keyword_tags,classification,is_PSI_matrix,is_AS_event_annotation,is_rMATS_result,is_MAJIQ_SUPPA_Whippet_result,is_ordinary_expression_matrix,is_splicing_factor_expression_table,has_TCGA_barcode,can_match_TCGA_expression,can_match_PRFT_risk_score,can_match_OS_time_status,estimated_sample_count,estimated_AS_event_count,notes
GPL570 family SOFT file; local path removed,00_raw_data/00_raw_data/geo_validation/GPL570_family.soft.gz,gz,6927597,as_event,other_keyword_hit_or_support,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
GPL96_family.soft.gz; local path removed,00_raw_data/00_raw_data/geo_validation/GPL96_family.soft.gz,gz,4055598,as_event,other_keyword_hit_or_support,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
GPL97_family.soft.gz; local path removed,00_raw_data/00_raw_data/geo_validation/GPL97_family.soft.gz,gz,11055598,as_event,other_keyword_hit_or_support,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
GSE14468_series_matrix.txt.gz; local path removed,00_raw_data/00_raw_data/geo_validation/GSE14468_series_matrix.txt.gz,gz,8527600,as_event,other_keyword_hit_or_support,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
TCGA.LAML.sampleMap_HiSeqV2.gz; local path removed,00_raw_data/00_raw_data/tcga_laml_raw_xena/TCGA.LAML.sampleMap_HiSeqV2.gz,gz,8901476,sf,ordinary_expression_or_support_matrix,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,173,,"general TCGA expression matrix can quantify splicing-factor genes, but this is not PSI-level AS data"
TCGA.LAML.sampleMap_LAML_clinicalMatrix.tsv; local path removed,00_raw_data/00_raw_data/tcga_laml_raw_xena/TCGA.LAML.sampleMap_LAML_clinicalMatrix.tsv,tsv,252590,,clinical_or_matching_support,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,200,,
tcga_laml_xena_manifest.csv; local path removed,00_raw_data/00_raw_data/tcga_laml_raw_xena/tcga_laml_xena_manifest.csv,csv,2856,,ordinary_expression_or_support_matrix,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
tcga_gene_annotation_hgnc.csv; local path removed,01_processed_data/01_metadata/tcga_gene_annotation_hgnc.csv,csv,638963,,gene_annotation_support,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
tcga_sample_mapping.csv; local path removed,01_processed_data/01_metadata/tcga_sample_mapping.csv,csv,6988,,clinical_or_matching_support,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
tcga_expr_clin_matched.rds; local path removed,01_processed_data/02_processed_data/tcga_expr_clin_matched.rds,rds,8767599,,clinical_or_matching_support,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,173,,"general TCGA expression matrix can quantify splicing-factor genes, but this is not PSI-level AS data | rds_class=list | rds_dims=18824x173;clin:173x8"
tcga_expr_hgnc_log2cpm.rds; local path removed,01_processed_data/02_processed_data/tcga_expr_hgnc_log2cpm.rds,rds,8765500,,ordinary_expression_or_support_matrix,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,173,,"general TCGA expression matrix can quantify splicing-factor genes, but this is not PSI-level AS data | rds_class=matrix;array | rds_dims=18824x173"
tcga_prft_score.csv; local path removed,01_processed_data/04_prft_score/tcga_prft_score.csv,csv,25676,,clinical_or_matching_support,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
tcga_prft_score.rds; local path removed,01_processed_data/04_prft_score/tcga_prft_score.rds,rds,7825,,clinical_or_matching_support,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,"general TCGA expression matrix can quantify splicing-factor genes, but this is not PSI-level AS data | rds_class=data.frame | rds_dims=173x14"
tcga_ssgsea_scores.csv; local path removed,01_processed_data/04_prft_score/tcga_ssgsea_scores.csv,csv,43954,,clinical_or_matching_support,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,173,,
lasso_repeated_selection_frequency.csv; local path removed,03_results_tables/07_signature/lasso_repeated_selection_frequency.csv,csv,853,sf,other_keyword_hit_or_support,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
main_candidate_genes_for_lasso.csv; local path removed,03_results_tables/07_signature/main_candidate_genes_for_lasso.csv,csv,18741,sf,other_keyword_hit_or_support,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
cross_platform_candidate_coverage_by_dataset.csv; local path removed,03_results_tables/08_validation/cross_platform_candidate_coverage_by_dataset.csv,csv,109003,sf,other_keyword_hit_or_support,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
geo_clinical_field_candidates.csv; local path removed,03_results_tables/08_validation/geo_clinical_field_candidates.csv,csv,11372,as_event,clinical_or_matching_support,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
risk_score_correlated_ranked_by_rho.csv; local path removed,03_results_tables/09_enrichment/risk_score_correlated_ranked_by_rho.csv,csv,498088,sf,other_keyword_hit_or_support,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
beataml_drug_category_annotated_results.csv; local path removed,03_results_tables/11_drug/beataml_drug_category_annotated_results.csv,csv,62448,as_event,other_keyword_hit_or_support,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
beataml_high_low_risk_drug_response_difference_all.csv; local path removed,03_results_tables/11_drug/beataml_high_low_risk_drug_response_difference_all.csv,csv,42344,as_event,other_keyword_hit_or_support,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
beataml_manual_download_requirements.csv; local path removed,03_results_tables/11_drug/beataml_manual_download_requirements.csv,csv,970,as_event,other_keyword_hit_or_support,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
phase3C_BeatAML_high_low_drug_comparison.csv; local path removed,03_results_tables/phase3C_BeatAML_high_low_drug_comparison.csv,csv,44527,as_event,other_keyword_hit_or_support,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
phase5_main_vs_supplement_recommendation.csv; local path removed,03_results_tables/phase5_main_vs_supplement_recommendation.csv,csv,806,spliceseq;tool,other_keyword_hit_or_support,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
phase1_fix_log.txt; local path removed,05_logs/phase1_fix_log.txt,txt,5534,as_event,textual_reference_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
phase2_clinical_independence_log.txt; local path removed,05_logs/phase2_clinical_independence_log.txt,txt,1852,as_event,clinical_or_matching_support,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
phase2b_mutation_audit_log.txt; local path removed,05_logs/phase2b_mutation_audit_log.txt,txt,1561,as_event;tool,textual_reference_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
phase3A_PPI_mini_update_log.txt; local path removed,05_logs/phase3A_PPI_mini_update_log.txt,txt,4274,as_event,textual_reference_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
phase3A_fix_machine_learning_log.txt; local path removed,05_logs/phase3A_fix_machine_learning_log.txt,txt,2067,as_event,textual_reference_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
phase3A_machine_learning_log.txt; local path removed,05_logs/phase3A_machine_learning_log.txt,txt,1225,as_event,textual_reference_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
phase3B_PRFT_state_ML_log.txt; local path removed,05_logs/phase3B_PRFT_state_ML_log.txt,txt,7566,as_event,textual_reference_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
phase3B_fix_key_result_checklist.txt; local path removed,05_logs/phase3B_fix_key_result_checklist.txt,txt,3093,as_event,textual_reference_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
phase3B_fix_log.txt; local path removed,05_logs/phase3B_fix_log.txt,txt,2627,as_event,textual_reference_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
phase3C_BeatAML_log.txt; local path removed,05_logs/phase3C_BeatAML_log.txt,txt,7844,as_event,textual_reference_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
phase3C_key_result_checklist.txt; local path removed,05_logs/phase3C_key_result_checklist.txt,txt,2827,as_event,textual_reference_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
phase4_singlecell_key_result_checklist.txt; local path removed,05_logs/phase4_singlecell_key_result_checklist.txt,txt,2311,spliceseq;as_event;tool,textual_reference_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
phase5_PPI_key_result_checklist.txt; local path removed,05_logs/phase5_PPI_key_result_checklist.txt,txt,1254,as_event,textual_reference_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
phase5_PPI_network_source_log.txt; local path removed,05_logs/phase5_PPI_network_source_log.txt,txt,2685,as_event,textual_reference_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
phase6_external_validation_file_audit_log.txt; local path removed,05_logs/phase6_external_validation_file_audit_log.txt,txt,1606,as_event,textual_reference_only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
GPL570 family SOFT file; local path removed,phase1_runtime/00_raw_data/geo_validation/GPL570_family.soft.gz,gz,6927597,as_event,other_keyword_hit_or_support,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
GPL96_family.soft.gz; local path removed,phase1_runtime/00_raw_data/geo_validation/GPL96_family.soft.gz,gz,4055598,as_event,other_keyword_hit_or_support,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
GPL97_family.soft.gz; local path removed,phase1_runtime/00_raw_data/geo_validation/GPL97_family.soft.gz,gz,11055598,as_event,other_keyword_hit_or_support,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
GSE14468_series_matrix.txt.gz; local path removed,phase1_runtime/00_raw_data/geo_validation/GSE14468_series_matrix.txt.gz,gz,8527600,as_event,other_keyword_hit_or_support,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
TCGA.LAML.sampleMap_HiSeqV2.gz; local path removed,phase1_runtime/00_raw_data/tcga_laml_raw_xena/TCGA.LAML.sampleMap_HiSeqV2.gz,gz,8901476,sf,ordinary_expression_or_support_matrix,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,173,,"general TCGA expression matrix can quantify splicing-factor genes, but this is not PSI-level AS data"
cox_preselected_genes.txt; local path removed,phase1_runtime/07_signature/cox_preselected_genes.txt,txt,513,sf,other_keyword_hit_or_support,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
lasso_repeated_selection_frequency.csv; local path removed,phase1_runtime/07_signature/lasso_repeated_selection_frequency.csv,csv,865,sf,other_keyword_hit_or_support,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
main_candidate_genes_for_lasso.csv; local path removed,phase1_runtime/07_signature/main_candidate_genes_for_lasso.csv,csv,18741,sf,other_keyword_hit_or_support,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
main_candidate_genes_for_lasso.txt; local path removed,phase1_runtime/07_signature/main_candidate_genes_for_lasso.txt,txt,513,sf,other_keyword_hit_or_support,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
cross_platform_candidate_coverage_by_dataset.csv; local path removed,phase1_runtime/08_validation/cross_platform_candidate_coverage_by_dataset.csv,csv,108865,sf,other_keyword_hit_or_support,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
geo_clinical_field_candidates.csv; local path removed,phase1_runtime/08_validation/geo_clinical_field_candidates.csv,csv,11372,as_event,clinical_or_matching_support,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
